epoch,loss
0,0.6928137540817261
1,0.691895067691803
2,0.6905571818351746
3,0.6898976564407349
4,0.6887961030006409
5,0.687270998954773
6,0.6862607598304749
7,0.684745192527771
8,0.6833264827728271
9,0.6814647316932678
10,0.6799415946006775
11,0.6784397959709167
12,0.6762831211090088
13,0.6740849614143372
14,0.6714344024658203
15,0.6690423488616943
16,0.6669690012931824
17,0.6645260453224182
18,0.6617194414138794
19,0.6593400835990906
0,0.6940420269966125
1,0.6929687857627869
2,0.6920040249824524
3,0.691332995891571
4,0.690466046333313
5,0.6893139481544495
6,0.6883858442306519
7,0.6872397065162659
8,0.6861279606819153
9,0.6851252913475037
10,0.6831742525100708
11,0.6817220449447632
12,0.6801267266273499
13,0.6786066889762878
14,0.6768022775650024
15,0.6752593517303467
16,0.6730450391769409
17,0.6707565188407898
18,0.6683434844017029
19,0.6658505797386169
0,0.6951086521148682
1,0.6939807534217834
2,0.6927265524864197
3,0.6919330954551697
4,0.6909538507461548
0,0.6918128132820129
1,0.6905850768089294
2,0.6885969638824463
3,0.6872851252555847
4,0.6861923336982727
0,0.6907391548156738
1,0.6893532872200012
2,0.6884472370147705
3,0.6868870258331299
4,0.6857855319976807
0,0.6915285587310791
1,0.6896864175796509
2,0.687920331954956
3,0.685948371887207
4,0.6841073036193848
0,0.6889771819114685
1,0.6874899864196777
2,0.6862581968307495
3,0.68531334400177
4,0.6836032271385193
0,0.6928356885910034
1,0.6910656690597534
2,0.6896006464958191
3,0.687771201133728
4,0.6863582134246826
0,0.6927371621131897
1,0.6910415291786194
2,0.6895815134048462
3,0.6879509687423706
4,0.6860408782958984
0,0.6938096880912781
1,0.6921172142028809
2,0.6905683279037476
3,0.6898150444030762
4,0.6883575320243835
0,0.6957502961158752
1,0.6945846676826477
0,0.6935155987739563
1,0.6916289329528809
